match_id,season,date,city,venue,teams,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result,method
663,2014,2014-05-06,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Royal Challengers Bangalore']",MI,RCB,RCB,field,MI,19.0,,['RG Sharma'],0,0
664,2014,2014-05-07,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Kolkata Knight Riders']",DC,KKR,DC,bat,KKR,,8.0,['G Gambhir'],0,0
665,2014,2014-05-07,Cuttack,Barabati Stadium,"['Kings XI Punjab', 'Chennai Super Kings']",KXIP,CSK,CSK,field,KXIP,44.0,,['GJ Maxwell'],0,0
666,2014,2014-05-08,Ahmedabad,"Sardar Patel Stadium, Motera","['Rajasthan Royals', 'Sunrisers Hyderabad']",RR,SRH,RR,field,SRH,32.0,,['B Kumar'],0,0
667,2014,2014-05-09,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Kings XI Punjab']",RCB,KXIP,RCB,field,KXIP,32.0,,['Sandeep Sharma'],0,0
668,2014,2014-05-10,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Sunrisers Hyderabad']",DC,SRH,SRH,field,SRH,,8.0,['DW Steyn'],0,D/L
669,2014,2014-05-10,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Chennai Super Kings']",MI,CSK,CSK,field,CSK,,4.0,['DR Smith'],0,0
671,2014,2014-05-11,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Rajasthan Royals']",RCB,RR,RCB,bat,RR,,5.0,['JP Faulkner'],0,0
670,2014,2014-05-11,Cuttack,Barabati Stadium,"['Kings XI Punjab', 'Kolkata Knight Riders']",KXIP,KKR,KKR,field,KKR,,9.0,['G Gambhir'],0,0
672,2014,2014-05-12,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Mumbai Indians']",SRH,MI,SRH,bat,MI,,7.0,['AT Rayudu'],0,0
673,2014,2014-05-13,Ranchi,JSCA International Stadium Complex,"['Chennai Super Kings', 'Rajasthan Royals']",CSK,RR,RR,bat,CSK,,5.0,['RA Jadeja'],0,0
674,2014,2014-05-13,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Delhi Daredevils']",RCB,DC,DC,field,RCB,16.0,,['Yuvraj Singh'],0,0
675,2014,2014-05-14,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Kings XI Punjab']",SRH,KXIP,KXIP,field,KXIP,,6.0,['WP Saha'],0,0
676,2014,2014-05-14,Cuttack,Barabati Stadium,"['Kolkata Knight Riders', 'Mumbai Indians']",KKR,MI,KKR,field,KKR,,6.0,['RV Uthappa'],0,0
677,2014,2014-05-15,Ahmedabad,"Sardar Patel Stadium, Motera","['Rajasthan Royals', 'Delhi Daredevils']",RR,DC,DC,field,RR,62.0,,['AM Rahane'],0,0
679,2014,2014-05-18,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Kolkata Knight Riders']",SRH,KKR,SRH,bat,KKR,,7.0,['UT Yadav'],0,0
678,2014,2014-05-18,Ranchi,JSCA International Stadium Complex,"['Chennai Super Kings', 'Royal Challengers Bangalore']",CSK,RCB,CSK,bat,RCB,,5.0,['AB de Villiers'],0,0
681,2014,2014-05-19,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Kings XI Punjab']",DC,KXIP,KXIP,field,KXIP,,4.0,['AR Patel'],0,0
680,2014,2014-05-19,Ahmedabad,"Sardar Patel Stadium, Motera","['Rajasthan Royals', 'Mumbai Indians']",RR,MI,MI,bat,MI,25.0,,['MEK Hussey'],0,0
682,2014,2014-05-20,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Royal Challengers Bangalore']",SRH,RCB,RCB,bat,SRH,,7.0,['DA Warner'],0,0
683,2014,2014-05-20,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Chennai Super Kings']",KKR,CSK,KKR,field,KKR,,8.0,['RV Uthappa'],0,0
684,2014,2014-05-21,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Mumbai Indians']",KXIP,MI,MI,field,MI,,7.0,['LMP Simmons'],0,0
685,2014,2014-05-22,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",KKR,RCB,RCB,field,KKR,30.0,,['RV Uthappa'],0,0
686,2014,2014-05-22,Ranchi,JSCA International Stadium Complex,"['Chennai Super Kings', 'Sunrisers Hyderabad']",CSK,SRH,SRH,field,SRH,,6.0,['DA Warner'],0,0
688,2014,2014-05-23,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Rajasthan Royals']",KXIP,RR,RR,field,KXIP,16.0,,['SE Marsh'],0,0
687,2014,2014-05-23,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Delhi Daredevils']",MI,DC,DC,field,MI,15.0,,['MEK Hussey'],0,0
690,2014,2014-05-24,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']",KKR,SRH,KKR,field,KKR,,4.0,['YK Pathan'],0,0
689,2014,2014-05-24,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Chennai Super Kings']",RCB,CSK,CSK,field,CSK,,8.0,['MS Dhoni'],0,0
691,2014,2014-05-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Delhi Daredevils']",KXIP,DC,KXIP,field,KXIP,,7.0,['M Vohra'],0,0
692,2014,2014-05-25,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Rajasthan Royals']",MI,RR,MI,field,MI,,5.0,['CJ Anderson'],0,0
693,2014,2014-05-27,Kolkata,Eden Gardens,"['Kings XI Punjab', 'Kolkata Knight Riders']",KXIP,KKR,KXIP,field,KKR,28.0,,['UT Yadav'],0,0
694,2014,2014-05-28,Mumbai,Brabourne Stadium,"['Chennai Super Kings', 'Mumbai Indians']",CSK,MI,CSK,field,CSK,,7.0,['SK Raina'],0,0
695,2014,2014-05-30,Mumbai,Wankhede Stadium,"['Chennai Super Kings', 'Kings XI Punjab']",CSK,KXIP,CSK,field,KXIP,24.0,,['V Sehwag'],0,0
696,2014,2014-06-01,Bangalore,M Chinnaswamy Stadium,"['Kolkata Knight Riders', 'Kings XI Punjab']",KKR,KXIP,KKR,field,KKR,,3.0,['MK Pandey'],0,0
697,2015,2015-04-08,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Mumbai Indians']",KKR,MI,KKR,field,KKR,,7.0,['M Morkel'],0,0
698,2015,2015-04-09,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Delhi Daredevils']",CSK,DC,DC,field,CSK,1.0,,['A Nehra'],0,0
699,2015,2015-04-10,Pune,Maharashtra Cricket Association Stadium,"['Kings XI Punjab', 'Rajasthan Royals']",KXIP,RR,KXIP,field,RR,26.0,,['JP Faulkner'],0,0
700,2015,2015-04-11,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Sunrisers Hyderabad']",CSK,SRH,CSK,bat,CSK,45.0,,['BB McCullum'],0,0
701,2015,2015-04-11,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",KKR,RCB,RCB,field,RCB,,3.0,['CH Gayle'],0,0
702,2015,2015-04-12,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Rajasthan Royals']",DC,RR,RR,field,RR,,3.0,['DJ Hooda'],0,0
703,2015,2015-04-12,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Kings XI Punjab']",MI,KXIP,MI,field,KXIP,18.0,,['GJ Bailey'],0,0
704,2015,2015-04-13,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Sunrisers Hyderabad']",RCB,SRH,SRH,field,SRH,,8.0,['DA Warner'],0,0
705,2015,2015-04-14,Ahmedabad,"Sardar Patel Stadium, Motera","['Rajasthan Royals', 'Mumbai Indians']",RR,MI,MI,bat,RR,,7.0,['SPD Smith'],0,0
